feature,period,bin,n,mfe60_ib,mae60_ib,mfe_mae,net_ib,p_mfe_025,p_mfe_050,p_mfe_100
outside_5m,Inner,Q4,100,0.29969353803439075,0.288134540870825,1.0401166660846393,0.011558997163565779,0.49,0.18,0.02
outside_5m,Inner,Q5,91,0.3117315120904838,0.3153794982330688,0.988433026994389,-0.003647986142585152,0.5054945054945055,0.16483516483516483,0.02197802197802198
outside_5m,OOS,Q1,102,0.25880042208497417,0.40249492570921036,0.6429905212567801,-0.14369450362423605,0.4215686274509804,0.11764705882352941,0.00980392156862745
outside_5m,OOS,Q2,49,0.32966396389251024,0.2790923531251451,1.1812002736767526,0.050571610767365126,0.6122448979591837,0.20408163265306123,0.0
outside_5m,OOS,Q3,50,0.3840366461753702,0.27430322426727455,1.400044229159968,0.10973342190809555,0.58,0.26,0.08
outside_5m,OOS,Q4,34,0.28668481251128636,0.31886855665343644,0.8990689314747045,-0.032183744142150125,0.5,0.14705882352941177,0.029411764705882353
outside_5m,OOS,Q5,44,0.30017257496948935,0.3444386515207444,0.8714834227929584,-0.04426607655125508,0.5,0.13636363636363635,0.045454545454545456
outside_5m,Train,Q1,305,0.2505762948204096,0.41337719688891567,0.6061686438106683,-0.16280090206850614,0.38688524590163936,0.12786885245901639,0.013114754098360656
outside_5m,Train,Q2,147,0.3643050724985488,0.30986813446137645,1.1756777544480221,0.05443693803717238,0.5306122448979592,0.23809523809523808,0.047619047619047616
outside_5m,Train,Q3,164,0.3301650878833156,0.3570538985589335,0.9246925722302967,-0.026888810675617825,0.4329268292682927,0.20121951219512196,0.06707317073170732
outside_5m,Train,Q4,205,0.3169222867673093,0.3026541035387822,1.047143531383505,0.01426818322852719,0.47317073170731705,0.1902439024390244,0.03414634146341464
outside_5m,Train,Q5,192,0.3843242414293188,0.290639954100483,1.3223379511560422,0.09368428732883576,0.5885416666666666,0.2604166666666667,0.057291666666666664
outside_5m,Validation,Q1,146,0.26686242867191284,0.385685580703534,0.6919170485583768,-0.11882315203162112,0.4383561643835616,0.15753424657534246,0.00684931506849315
outside_5m,Validation,Q2,95,0.3326810163194741,0.3098463669866032,1.0736966825041334,0.022834649332870903,0.47368421052631576,0.24210526315789474,0.042105263157894736
outside_5m,Validation,Q3,96,0.27032339568294667,0.3477264617107975,0.7774024281987874,-0.07740306602785087,0.4270833333333333,0.16666666666666666,0.010416666666666666
outside_5m,Validation,Q4,86,0.3370914301372009,0.29770320471410416,1.132307025249939,0.03938822542309667,0.5581395348837209,0.26744186046511625,0.023255813953488372
outside_5m,Validation,Q5,105,0.36235432775878007,0.3209587328162881,1.1289748204676087,0.04139559494249196,0.49523809523809526,0.2571428571428571,0.0380952380952381
reentry_depth_ib,Inner,Q1,83,0.2476219093160227,0.3471129062765995,0.7133756908442446,-0.0994909969605768,0.3373493975903614,0.14457831325301204,0.012048192771084338
reentry_depth_ib,Inner,Q2,98,0.29237579433447064,0.35473612151101347,0.824206435727728,-0.062360327176542905,0.46938775510204084,0.15306122448979592,0.02040816326530612
reentry_depth_ib,Inner,Q3,91,0.27344249554598443,0.34390553637797244,0.7951093152668965,-0.07046304083198801,0.43956043956043955,0.15384615384615385,0.0
reentry_depth_ib,Inner,Q4,110,0.3122364748260036,0.35769710780780856,0.8729074627960619,-0.04546063298180482,0.4727272727272727,0.2,0.02727272727272727
reentry_depth_ib,Inner,Q5,116,0.3625994512678808,0.4387970619000807,0.8263488586221414,-0.07619761063219989,0.5948275862068966,0.20689655172413793,0.034482758620689655
reentry_depth_ib,OOS,Q1,38,0.2529967716624521,0.3310483407002276,0.7642290884990325,-0.07805156903777538,0.3157894736842105,0.18421052631578946,0.0
reentry_depth_ib,OOS,Q2,52,0.2578978759382719,0.24891931309757367,1.0360701736195888,0.008978562840698211,0.46153846153846156,0.15384615384615385,0.0
reentry_depth_ib,OOS,Q3,47,0.258541983251658,0.295240439611096,0.8756997638677858,-0.03669845635943792,0.44680851063829785,0.14893617021276595,0.0
reentry_depth_ib,OOS,Q4,62,0.3204294697638313,0.39441026555516534,0.8124267995732821,-0.07398079579133397,0.6451612903225806,0.14516129032258066,0.016129032258064516
reentry_depth_ib,OOS,Q5,80,0.37081524132576693,0.3823577772267581,0.9698122110011487,-0.011542535900991174,0.55,0.1875,0.0875
reentry_depth_ib,Train,Q1,204,0.2827622463740733,0.3099078796242338,0.9124074118958356,-0.027145633250160416,0.4264705882352941,0.17647058823529413,0.024509803921568627
reentry_depth_ib,Train,Q2,201,0.29938531855658845,0.3269712614330554,0.915631903686083,-0.027585942876466967,0.47761194029850745,0.15920398009950248,0.014925373134328358
reentry_depth_ib,Train,Q3,204,0.3010659106440707,0.3585765666456589,0.839614014547639,-0.05751065600158817,0.43137254901960786,0.16666666666666666,0.029411764705882353
reentry_depth_ib,Train,Q4,202,0.2981582105412286,0.3227308309304622,0.9238603255896299,-0.024572620389233527,0.4405940594059406,0.18811881188118812,0.034653465346534656
reentry_depth_ib,Train,Q5,202,0.41277060168910457,0.3997563572192782,1.0325554409199493,0.01301424446982638,0.5792079207920792,0.27722772277227725,0.09405940594059406
reentry_depth_ib,Validation,Q1,82,0.35423311738094143,0.26953090135575575,1.3142579036360162,0.08470221602518568,0.5487804878048781,0.2682926829268293,0.036585365853658534
reentry_depth_ib,Validation,Q2,123,0.26628723892032113,0.3104697587654606,0.8576913899091974,-0.044182519845139476,0.4065040650406504,0.17073170731707318,0.0
reentry_depth_ib,Validation,Q3,88,0.2942935725263843,0.27090640921000325,1.0863293097589715,0.023387163316381042,0.4318181818181818,0.17045454545454544,0.022727272727272728
reentry_depth_ib,Validation,Q4,121,0.3146285032394843,0.34394685142387693,0.9147590737841617,-0.029318348184392655,0.4793388429752066,0.2066115702479339,0.024793388429752067
reentry_depth_ib,Validation,Q5,114,0.331459607383748,0.4621380285062282,0.7172307556145663,-0.13067842112248026,0.5175438596491229,0.2543859649122807,0.03508771929824561
