session_date,year,split,side,ib_high,ib_low,ib_width,signal_ny_min,entry_ny_min,entry,stop,target,risk_points,exit_ny_min,exit,exit_kind,gross_points,cost_points,net_points,net_r,label,period,sd,ny_min,vwap,session_open,path,run_high,run_low,sd_five,ib_high_five,ib_low_five,ib_width_five,ib_volume,ib_close,ib_vs_prior20,bar_open,bar_high,bar_low,bar_close,bar_volume,bar_close_min,es_sd,es_ny_min,es_close,es_ib_high,es_ib_low,signal_delay_min,breakout_excess_ib,signal_body_fraction,signal_range_ib,signal_vol_vs_ib5mean,vwap_distance_ib,trend_efficiency,range_sofar_ib,es_confirms
2015-02-09,2015,IS,short,4225.75,4206.5,19.25,659,660,4204.0,4225.75,4182.25,21.75,749,4225.75,stop,-21.75,1.0,-22.75,-1.0459770114942528,0,Train,2015-02-09,659,4214.752126969157,4208.25,142.5,4225.75,4201.75,2015-02-09,4225.75,4206.5,19.25,50574,4210.0,0.56,4209.5,4209.75,4201.75,4203.75,2431,659,2015-02-09,659,2042.75,2051.5,2042.25,29,0.14285714285714285,0.71875,0.4155844155844156,0.5768181278918021,0.5715390633328291,0.031578947368421054,1.2467532467532467,False
2015-02-11,2015,IS,long,4294.25,4278.75,15.5,644,645,4296.75,4278.75,4314.75,18.0,791,4278.75,stop,-18.0,1.0,-19.0,-1.0555555555555556,0,Train,2015-02-11,644,4288.4405458286265,4282.75,85.5,4298.25,4278.75,2015-02-11,4294.25,4278.75,15.5,39529,4289.25,0.4509090909090909,4292.5,4298.25,4292.25,4296.5,3774,644,2015-02-11,644,2061.75,2064.75,2059.5,14,0.14516129032258066,0.6666666666666666,0.3870967741935484,1.1456905057046725,0.5199647852499062,0.1608187134502924,1.2580645161290323,False
2015-02-20,2015,IS,long,4414.5,4396.0,18.5,639,640,4416.75,4396.0,4437.5,20.75,845,4437.5,target,20.75,1.0,19.75,0.9518072289156626,1,Train,2015-02-20,639,4405.241100243148,4410.0,94.25,4417.0,4396.0,2015-02-20,4414.5,4396.0,18.5,54605,4407.75,0.7789473684210526,4407.5,4417.0,4407.5,4417.0,3496,639,2015-02-20,639,2091.0,2093.5,2082.25,9,0.13513513513513514,1.0,0.5135135135135135,0.7682812929218935,0.6356162030730735,0.07427055702917772,1.135135135135135,False
2015-03-17,2015,IS,short,4361.0,4346.25,14.75,679,680,4343.25,4361.0,4325.5,17.75,762,4361.0,stop,-17.75,1.0,-18.75,-1.056338028169014,0,Train,2015-03-17,679,4352.776243441708,4351.75,143.5,4361.0,4342.0,2015-03-17,4361.0,4346.25,14.75,40080,4356.25,0.7866666666666666,4349.25,4349.5,4342.0,4343.5,3907,679,2015-03-17,679,2057.0,2067.5,2059.0,49,0.1864406779661017,0.7666666666666667,0.5084745762711864,1.1697604790419163,0.6288978604547916,0.05749128919860627,1.2881355932203389,True
2015-03-18,2015,IS,long,4361.5,4347.0,14.5,669,670,4363.5,4347.0,4380.0,16.5,785,4347.0,stop,-16.5,1.0,-17.5,-1.0606060606060606,0,Train,2015-03-18,669,4356.043367976745,4359.0,110.25,4363.5,4347.0,2015-03-18,4361.5,4347.0,14.5,30742,4359.0,0.7785234899328859,4360.75,4363.5,4360.25,4363.25,1050,669,2015-03-18,669,2061.5,2062.0,2055.75,39,0.1206896551724138,0.7692307692307693,0.22413793103448276,0.40986272851473554,0.49700910505208445,0.03854875283446712,1.1379310344827587,False
2015-03-24,2015,IS,long,4453.75,4432.0,21.75,654,655,4454.75,4432.0,4477.5,22.75,858,4432.0,stop,-22.75,1.0,-23.75,-1.043956043956044,0,Train,2015-03-24,654,4445.067736927506,4440.0,101.5,4456.0,4432.0,2015-03-24,4453.75,4432.0,21.75,43504,4450.25,1.16,4450.25,4456.0,4450.0,4455.0,2549,654,2015-03-24,654,2096.5,2098.5,2090.5,24,0.05747126436781609,0.7916666666666666,0.27586206896551724,0.703107760205958,0.4566557734479861,0.1477832512315271,1.103448275862069,False
2015-03-25,2015,IS,short,4436.0,4395.75,40.25,684,685,4391.75,4436.0,4347.5,44.25,764,4347.5,target,44.25,1.0,43.25,0.9774011299435028,1,Train,2015-03-25,684,4407.883235478947,4432.0,173.0,4436.0,4390.25,2015-03-25,4436.0,4395.75,40.25,62056,4410.25,2.104575163398693,4396.25,4396.25,4390.25,4391.75,3424,684,2015-03-25,684,2078.75,2089.25,2078.75,54,0.09937888198757763,0.75,0.14906832298136646,0.6621116410983628,0.4008257261850292,0.23265895953757226,1.1366459627329193,True
2015-03-31,2015,IS,long,4364.5,4344.75,19.75,674,675,4369.75,4344.75,4394.75,25.0,914,4344.75,stop,-25.0,1.0,-26.0,-1.04,0,Train,2015-03-31,674,4358.208212841773,4362.0,158.25,4370.75,4344.75,2015-03-31,4364.5,4344.75,19.75,53404,4358.75,0.9186046511627907,4364.5,4370.75,4364.5,4369.5,4446,674,2015-03-31,674,2075.5,2072.5,2064.75,44,0.25316455696202533,0.8,0.31645569620253167,0.9990262901655308,0.5717360586443911,0.04739336492890995,1.3164556962025316,True
2015-04-07,2015,IS,long,4366.25,4339.5,26.75,634,635,4368.25,4339.5,4397.0,28.75,941,4339.5,stop,-28.75,1.0,-29.75,-1.0347826086956522,0,Train,2015-04-07,634,4356.255217233701,4340.5,100.5,4371.0,4339.5,2015-04-07,4366.25,4339.5,26.75,53866,4365.75,1.1382978723404256,4365.5,4371.0,4365.5,4368.5,4067,634,2015-04-07,634,2080.25,2081.75,2072.25,4,0.08411214953271028,0.5454545454545454,0.205607476635514,0.9060260646790184,0.45774888845977824,0.27860696517412936,1.1775700934579438,False
2015-04-09,2015,IS,short,4390.0,4364.5,25.5,654,655,4364.0,4390.0,4338.0,26.0,912,4390.0,stop,-26.0,1.0,-27.0,-1.0384615384615383,0,Train,2015-04-09,654,4375.471547455327,4367.75,162.25,4390.0,4359.0,2015-04-09,4390.0,4364.5,25.5,58756,4376.75,1.0515463917525774,4364.25,4365.5,4359.0,4364.25,3292,654,2015-04-09,654,2070.5,2081.5,2071.5,24,0.00980392156862745,0.0,0.2549019607843137,0.6723398461433726,0.4400606845226196,0.02157164869029276,1.2156862745098038,True
2015-04-15,2015,IS,short,4412.5,4398.5,14.0,699,700,4398.0,4412.5,4383.5,14.5,795,4412.5,stop,-14.5,1.0,-15.5,-1.0689655172413792,0,Train,2015-04-15,699,4405.595839075009,4402.75,139.0,4412.5,4398.0,2015-04-15,4412.5,4398.5,14.0,44318,4405.5,0.5358851674641149,4400.75,4401.75,4398.0,4398.25,2199,699,2015-04-15,699,2095.75,2102.25,2094.25,69,0.017857142857142856,0.6666666666666666,0.26785714285714285,0.5954239812265897,0.5247027910720915,0.03237410071942446,1.0357142857142858,False
2015-04-16,2015,IS,short,4419.0,4403.5,15.5,634,635,4402.5,4419.0,4386.0,16.5,829,4419.0,stop,-16.5,1.0,-17.5,-1.0606060606060606,0,Train,2015-04-16,634,4411.041329525623,4407.25,107.0,4419.0,4401.0,2015-04-16,4419.0,4403.5,15.5,47031,4405.25,0.6262626262626263,4405.25,4405.5,4401.0,4402.75,3393,634,2015-04-16,634,2094.0,2097.5,2093.0,4,0.04838709677419355,0.5555555555555556,0.2903225806451613,0.8657268610065701,0.5349244855240671,0.04205607476635514,1.1612903225806452,False
2015-04-27,2015,IS,short,4555.5,4537.5,18.0,714,715,4537.25,4555.5,4519.0,18.25,853,4519.0,target,18.25,1.0,17.25,0.9452054794520548,1,Train,2015-04-27,714,4544.821949729291,4547.25,139.5,4555.5,4536.0,2015-04-27,4555.5,4537.5,18.0,40013,4549.25,0.6545454545454545,4539.5,4540.25,4536.25,4537.25,2330,714,2015-04-27,714,2113.0,2119.75,2113.5,84,0.013888888888888888,0.5625,0.2222222222222222,0.6987728988078875,0.4206638738495106,0.07168458781362007,1.0833333333333333,True
2015-04-30,2015,IS,short,4474.5,4433.75,40.75,654,655,4433.5,4474.5,4392.5,41.0,909,4392.5,target,41.0,1.0,40.0,0.975609756097561,1,Train,2015-04-30,654,4450.725131432486,4455.25,178.25,4474.5,4432.0,2015-04-30,4474.5,4433.75,40.75,77258,4438.0,1.5598086124401913,4438.25,4441.5,4432.5,4433.5,3412,654,2015-04-30,654,2085.5,2098.0,2083.5,24,0.006134969325153374,0.5277777777777778,0.22085889570552147,0.5299645344171477,0.42270261184014224,0.12201963534361851,1.0429447852760736,False
2015-05-18,2015,IS,long,4493.0,4478.25,14.75,674,675,4496.25,4478.25,4514.25,18.0,845,4514.25,target,18.0,1.0,17.0,0.9444444444444444,1,Train,2015-05-18,674,4486.051380719729,4481.25,106.75,4496.75,4478.25,2015-05-18,4493.0,4478.25,14.75,30629,4485.75,0.5315315315315315,4490.75,4496.75,4489.5,4496.0,2587,674,2015-05-18,674,2121.75,2120.75,2116.25,44,0.2033898305084746,0.7241379310344828,0.4915254237288136,1.0135492507101114,0.6744826630691917,0.13817330210772832,1.2542372881355932,True
2015-06-08,2015,IS,short,4478.5,4454.5,24.0,689,690,4453.0,4478.5,4427.5,25.5,797,4427.5,target,25.5,1.0,24.5,0.9607843137254902,1,Train,2015-06-08,689,4462.632989446223,4474.25,179.0,4478.5,4451.75,2015-06-08,4478.5,4454.5,24.0,45190,4459.75,0.9142857142857143,4460.0,4461.75,4451.75,4453.25,2471,689,2015-06-08,689,2085.0,2092.0,2085.0,59,0.052083333333333336,0.675,0.4166666666666667,0.6561628678911263,0.39095789359263716,0.11731843575418995,1.1145833333333333,True
2015-06-17,2015,IS,short,4465.5,4455.25,10.25,689,690,4449.25,4465.5,4433.0,16.25,840,4433.0,target,16.25,1.0,15.25,0.9384615384615383,1,Train,2015-06-17,689,4460.160855484868,4456.5,110.75,4465.5,4448.5,2015-06-17,4465.5,4455.25,10.25,24790,4460.25,0.3867924528301887,4458.0,4458.0,4448.5,4449.5,2717,689,2015-06-17,689,2088.0,2095.25,2090.0,59,0.5609756097560976,0.8947368421052632,0.926829268292683,1.3152077450584911,1.0400834619383492,0.06320541760722348,1.6585365853658536,True
2015-06-22,2015,IS,long,4546.5,4531.75,14.75,669,670,4547.0,4531.75,4562.25,15.25,747,4531.75,stop,-15.25,1.0,-16.25,-1.0655737704918034,0,Train,2015-06-22,669,4540.793024293722,4537.5,113.25,4549.75,4531.75,2015-06-22,4546.5,4531.75,14.75,35188,4539.75,0.5566037735849056,4543.75,4549.75,4542.5,4546.75,4827,669,2015-06-22,669,2120.25,2119.0,2112.5,39,0.01694915254237288,0.41379310344827586,0.4915254237288136,1.6461293622825963,0.40386275974767266,0.08167770419426049,1.2203389830508475,True
2015-06-29,2015,IS,short,4451.5,4419.0,32.5,674,675,4418.0,4451.5,4384.5,33.5,872,4384.5,target,33.5,1.0,32.5,0.9701492537313432,1,Train,2015-06-29,674,4434.590399570245,4426.0,213.75,4451.5,4416.75,2015-06-29,4451.5,4419.0,32.5,70833,4432.25,1.3,4420.75,4422.75,4416.75,4418.25,4413,674,2015-06-29,674,2069.0,2083.25,2072.75,44,0.023076923076923078,0.4166666666666667,0.18461538461538463,0.7476176358476981,0.5027815252382984,0.03625730994152047,1.0692307692307692,True
2015-06-30,2015,IS,short,4403.75,4381.0,22.75,649,650,4379.25,4403.75,4354.75,24.5,833,4403.75,stop,-24.5,1.0,-25.5,-1.0408163265306123,0,Train,2015-06-30,649,4390.699647318384,4402.75,149.75,4403.75,4377.0,2015-06-30,4403.75,4381.0,22.75,59395,4392.75,0.91,4385.0,4388.0,4377.0,4379.5,4756,649,2015-06-30,649,2052.75,2067.5,2053.25,19,0.06593406593406594,0.5,0.4835164835164835,0.9608889637174847,0.4922921898190967,0.15525876460767946,1.1758241758241759,True
2015-07-07,2015,IS,short,4418.25,4365.75,52.5,634,635,4362.25,4418.25,4306.25,56.0,898,4418.25,stop,-56.0,1.0,-57.0,-1.0178571428571428,0,Train,2015-07-07,634,4385.129326210147,4417.25,130.5,4418.25,4361.0,2015-07-07,4418.25,4365.75,52.5,69985,4368.5,2.346368715083799,4368.75,4369.0,4361.0,4362.5,5543,634,2015-07-07,634,2043.75,2064.0,2044.75,4,0.06190476190476191,0.78125,0.1523809523809524,0.9504322354790312,0.43103478495518394,0.41954022988505746,1.0904761904761904,True
2015-07-09,2015,IS,short,4407.25,4378.0,29.25,719,720,4377.25,4407.25,4347.25,30.0,872,4347.25,target,30.0,1.0,29.0,0.9666666666666668,1,Train,2015-07-09,719,4392.089605558092,4403.25,219.25,4407.25,4376.75,2015-07-09,4407.25,4378.0,29.25,59729,4379.0,1.3072625698324023,4385.5,4386.0,4376.75,4377.5,2473,719,2015-07-09,719,2054.75,2068.0,2053.75,89,0.017094017094017096,0.8648648648648649,0.3162393162393162,0.496844079090559,0.49878993360999807,0.11744583808437856,1.0427350427350428,False
2015-07-10,2015,IS,short,4402.5,4391.25,11.25,644,645,4388.25,4402.5,4374.0,14.25,661,4402.5,stop,-14.25,1.0,-15.25,-1.0701754385964912,0,Train,2015-07-10,644,4396.373243551251,4401.75,102.0,4402.5,4387.25,2015-07-10,4402.5,4391.25,11.25,48799,4398.5,0.5027932960893855,4394.0,4394.0,4387.25,4388.25,3719,644,2015-07-10,644,2060.75,2070.0,2062.5,14,0.26666666666666666,0.8518518518518519,0.6,0.9145269370273981,0.7220660934445429,0.1323529411764706,1.3555555555555556,True
2015-07-14,2015,IS,long,4509.75,4491.0,18.75,654,655,4510.0,4491.0,4529.0,19.0,904,4529.0,target,19.0,1.0,18.0,0.9473684210526316,1,Train,2015-07-14,654,4502.1037106001195,4493.0,93.0,4511.75,4491.0,2015-07-14,4509.75,4491.0,18.75,41432,4508.25,0.819672131147541,4507.0,4510.25,4506.75,4510.25,1384,654,2015-07-14,654,2099.25,2098.5,2091.5,24,0.02666666666666667,0.9285714285714286,0.18666666666666668,0.4008495848619425,0.4344687679936275,0.18548387096774194,1.1066666666666667,True
