session_date,year,period,break_side,signal_end,extreme_end,reentry_end,rejection_minutes,entry_min,ib_width,excursion_ib,outside_5m,reentry_depth_ib,relvol,mfe60_ib,mae60_ib,reversal_net_ib,direction,id,gb1,gb2,gb3,gb4,gb5,sample
2023-12-14,2023,Validation,-1,639,649,654,5,655,91.25,0.210958904109589,3,0.2602739726027397,0.7352430609181272,0.1150684931506849,0.7452054794520548,-0.6301369863013699,downside_failure,1864,0.11232876712328767,0.14246575342465753,0.4328767123287671,0.4657534246575342,0.09863013698630137,excursion_matched
2023-12-15,2023,Validation,1,654,654,659,5,660,86.0,0.1220930232558139,1,0.0813953488372093,0.6046443291395696,0.2441860465116279,0.3255813953488372,-0.0813953488372093,upside_failure,1865,0.1308139534883721,0.0872093023255814,0.24127906976744187,0.20930232558139536,0.15406976744186046,excursion_matched
2023-12-18,2023,Validation,1,694,714,714,0,715,73.0,0.1267123287671233,4,0.0102739726027397,0.5716330406539869,0.071917808219178,0.4520547945205479,-0.3801369863013698,upside_failure,1866,0.0136986301369863,-0.0684931506849315,0.0136986301369863,0.030821917808219176,0.0273972602739726,excursion_matched
2023-12-19,2023,Validation,1,634,639,639,0,640,53.25,0.1830985915492957,1,0.3615023474178404,0.5853205931665392,0.2394366197183098,0.647887323943662,-0.4084507042253521,upside_failure,1867,0.36619718309859156,0.4272300469483568,0.17370892018779344,0.004694835680751174,-0.051643192488262914,excursion_matched
2023-12-20,2023,Validation,1,634,634,649,15,650,83.5,0.2275449101796407,3,0.0538922155688622,1.1684311838306063,0.2634730538922156,0.0688622754491018,0.1946107784431138,upside_failure,1868,0.08383233532934131,-0.017964071856287425,0.15868263473053892,0.2934131736526946,0.12874251497005987,excursion_matched
2023-12-21,2023,Validation,-1,729,734,739,5,740,115.5,0.1017316017316017,2,0.0,0.6390663599965926,0.2142857142857142,0.2445887445887445,-0.0303030303030303,downside_failure,1869,0.049783549783549784,0.09307359307359307,0.09956709956709957,0.06277056277056277,0.07792207792207792,excursion_matched
2023-12-22,2023,Validation,-1,664,669,669,0,670,52.25,0.3971291866028708,1,0.1196172248803827,1.2051179773557117,0.3444976076555024,0.3157894736842105,0.0287081339712919,downside_failure,1870,0.15789473684210525,0.20095693779904306,0.19138755980861244,0.1339712918660287,0.215311004784689,excursion_matched
2023-12-26,2023,Validation,1,639,644,644,0,645,51.5,0.0679611650485436,1,0.1699029126213592,0.594386964872065,0.5048543689320388,0.0631067961165048,0.441747572815534,upside_failure,1871,0.1796116504854369,0.27184466019417475,0.470873786407767,0.3155339805825243,0.441747572815534,excursion_matched
2024-01-02,2024,Validation,-1,634,654,664,10,665,156.75,0.2025518341307815,6,0.0909090909090909,0.7393053806010437,0.3524720893141946,0.0845295055821371,0.2679425837320574,downside_failure,1872,-0.03349282296650718,0.06379585326953748,-0.09888357256778309,-0.03508771929824561,0.03189792663476874,excursion_matched
2024-01-03,2024,Validation,-1,639,639,644,5,645,97.0,0.1288659793814432,1,0.1211340206185567,0.940482279412682,0.5128865979381443,0.1159793814432989,0.3969072164948453,downside_failure,1873,0.20618556701030927,0.14175257731958762,0.26288659793814434,0.4845360824742268,0.6056701030927835,excursion_matched
2024-01-04,2024,Validation,1,649,654,659,5,660,90.0,0.0972222222222222,2,0.0888888888888888,0.5037984806077569,0.1222222222222222,0.65,-0.5277777777777778,upside_failure,1874,-0.008333333333333333,0.1111111111111111,-0.044444444444444446,-0.10555555555555556,-0.4,excursion_matched
2024-01-05,2024,Validation,1,634,639,639,0,640,117.75,0.1125265392781316,1,0.0042462845010615,0.8067531476535673,0.316348195329087,0.1910828025477707,0.1252653927813163,upside_failure,1875,0.03397027600849257,-0.006369426751592357,0.03821656050955414,-0.027600849256900213,-0.04246284501061571,excursion_matched
