stop_rule,target_r,filter,period,n,E,PF,win
0.50x_ib_width,1.5,highvol_early,Inner,167,7.229416167664671,1.356441672509872,0.46107784431137727
0.50x_ib_width,1.5,highvol_early,OOS,69,17.21286231884058,1.4080523942452223,0.4782608695652174
0.50x_ib_width,1.5,highvol_early,Train,387,-0.01970284237726098,0.997653755913689,0.4315245478036176
0.50x_ib_width,1.5,highvol_early,Validation,164,9.464939024390244,1.3172713336739907,0.4817073170731707
0.50x_ib_width,1.5,low_volume,Inner,210,7.631845238095238,1.460989465357926,0.5333333333333333
0.50x_ib_width,1.5,low_volume,OOS,136,-6.811580882352941,0.8448153111650892,0.4632352941176471
0.50x_ib_width,1.5,low_volume,Train,481,-1.5006496881496882,0.7896740120196686,0.40540540540540543
0.50x_ib_width,1.5,low_volume,Validation,201,2.0189676616915424,1.0646532839447167,0.4577114427860697
0.50x_ib_width,2.0,all,Inner,677,3.656573116691285,1.1682611429251135,0.46824224519940916
0.50x_ib_width,2.0,all,OOS,370,-3.502027027027027,0.929412886267994,0.42702702702702705
0.50x_ib_width,2.0,all,Train,1441,-0.5705239417071478,0.9295877182652263,0.3976405274115198
0.50x_ib_width,2.0,all,Validation,695,3.7021582733812948,1.1108096468561586,0.44316546762589926
0.50x_ib_width,2.0,early,Inner,464,4.3860452586206895,1.1885225970055928,0.45905172413793105
0.50x_ib_width,2.0,early,OOS,266,-4.543703007518797,0.9163617490592968,0.40977443609022557
0.50x_ib_width,2.0,early,Train,970,-0.19871134020618555,0.9767034295210757,0.39484536082474225
0.50x_ib_width,2.0,early,Validation,496,6.018145161290323,1.1728380764888104,0.43951612903225806
0.50x_ib_width,2.0,high_volume,Inner,195,6.81474358974359,1.3191438263636637,0.4307692307692308
0.50x_ib_width,2.0,high_volume,OOS,85,9.826470588235294,1.2121269841269842,0.4117647058823529
0.50x_ib_width,2.0,high_volume,Train,481,-0.1307172557172557,0.9848726354094613,0.38461538461538464
0.50x_ib_width,2.0,high_volume,Validation,188,8.789228723404255,1.2842490054832814,0.44148936170212766
0.50x_ib_width,2.0,highvol_early,Inner,167,10.826347305389222,1.5322734967248104,0.4550898203592814
0.50x_ib_width,2.0,highvol_early,OOS,69,17.784420289855074,1.398530426663419,0.4492753623188406
0.50x_ib_width,2.0,highvol_early,Train,387,0.6062661498708011,1.0691777540264622,0.3979328165374677
0.50x_ib_width,2.0,highvol_early,Validation,164,10.099085365853659,1.3268054459352803,0.4451219512195122
0.50x_ib_width,2.0,low_volume,Inner,210,7.010714285714286,1.4096125756416498,0.5142857142857142
0.50x_ib_width,2.0,low_volume,OOS,136,-3.9246323529411766,0.9105871513527096,0.4632352941176471
0.50x_ib_width,2.0,low_volume,Train,481,-1.4337318087318087,0.8010529732068804,0.39501039501039503
0.50x_ib_width,2.0,low_volume,Validation,201,2.5111940298507465,1.0789319363540404,0.4427860696517413
0.75x_ib_width,0.75,all,Inner,677,2.6907080871491877,1.1242449367601233,0.5819793205317577
0.75x_ib_width,0.75,all,OOS,370,3.8806587837837836,1.0842656034508056,0.5675675675675675
0.75x_ib_width,0.75,all,Train,1441,-1.0277585010409438,0.8724457937687057,0.5225537820957669
0.75x_ib_width,0.75,all,Validation,695,3.2875,1.097159912400068,0.5870503597122302
0.75x_ib_width,0.75,early,Inner,464,2.4036907327586206,1.1044942175376957,0.5883620689655172
0.75x_ib_width,0.75,early,OOS,266,2.0792410714285716,1.0411346215526498,0.575187969924812
0.75x_ib_width,0.75,early,Train,970,-1.1398840206185568,0.8686441936441937,0.534020618556701
0.75x_ib_width,0.75,early,Validation,496,4.594789566532258,1.1293430027773934,0.6008064516129032
