session_date,year,period,break_side,signal_end,extreme_end,reentry_end,rejection_minutes,entry_min,ib_width,excursion_ib,outside_5m,reentry_depth_ib,relvol,mfe60_ib,mae60_ib,reversal_net_ib
2016-03-17,2016,Train,1,749,759,779,20,780,28.0,0.21428571428571427,6,0.03571428571428571,0.5618341919990147,0.29464285714285715,0.20535714285714285,0.0892857142857143
2016-03-18,2016,Train,1,679,679,689,10,690,31.25,0.12,2,0.112,0.5052892404460116,0.128,0.184,-0.055999999999999994
2016-03-21,2016,Train,1,809,809,814,5,815,21.25,0.23529411764705882,1,0.023529411764705882,1.1206177286036327,0.2235294117647059,0.4,-0.17647058823529413
2016-03-22,2016,Train,1,639,679,714,35,715,28.25,0.30973451327433627,15,0.0,0.7421356105393767,0.09734513274336283,0.45132743362831856,-0.35398230088495575
2016-03-23,2016,Train,-1,664,664,669,5,670,19.5,0.20512820512820512,1,0.16666666666666666,0.7126507887411073,0.02564102564102564,0.8205128205128205,-0.7948717948717948
2016-03-24,2016,Train,1,649,674,689,15,690,20.25,0.49382716049382713,8,0.09876543209876543,0.5709745990165975,0.3950617283950617,0.3333333333333333,0.06172839506172839
2016-03-30,2016,Train,-1,694,699,709,10,710,29.0,0.22413793103448276,3,0.02586206896551724,1.310810301270691,0.11206896551724138,0.3275862068965517,-0.21551724137931033
2016-03-31,2016,Train,1,654,654,659,5,660,19.0,0.11842105263157894,1,0.05263157894736842,0.5907741041377945,0.35526315789473684,0.19736842105263158,0.15789473684210525
2016-04-04,2016,Train,-1,649,679,724,45,725,17.0,0.8088235294117647,15,0.014705882352941176,0.6826086956521739,0.7794117647058824,0.058823529411764705,0.7205882352941176
2016-04-07,2016,Train,-1,644,649,649,0,650,30.0,0.15,1,0.06666666666666667,0.7805928421345095,0.008333333333333333,0.6166666666666667,-0.6083333333333334
2016-04-11,2016,Train,-1,694,699,719,20,720,29.75,0.25210084033613445,5,0.15126050420168066,1.1782435836056702,0.48739495798319327,0.11764705882352941,0.3697478991596639
2016-04-14,2016,Train,1,654,654,659,5,660,15.25,0.11475409836065574,1,0.11475409836065574,0.8829571867736372,0.5409836065573771,0.5737704918032787,-0.032786885245901565
2016-04-15,2016,Train,1,649,649,654,5,655,14.5,0.15517241379310345,1,0.22413793103448276,0.5720071893273929,0.06896551724137931,0.5517241379310345,-0.48275862068965514
2016-04-19,2016,Train,-1,714,769,834,65,835,35.25,0.7588652482269503,24,0.03546099290780142,1.129563006667626,0.1276595744680851,0.2624113475177305,-0.1347517730496454
2016-04-20,2016,Train,1,679,689,789,100,790,28.75,0.33043478260869563,22,0.08695652173913043,0.8195684374874894,0.02608695652173913,0.3217391304347826,-0.29565217391304344
2016-04-21,2016,Train,1,639,664,709,45,710,21.25,0.7647058823529411,14,0.11764705882352941,1.076528481956457,0.4588235294117647,0.2235294117647059,0.2352941176470588
2016-04-22,2016,Train,-1,639,649,824,175,825,44.25,0.4915254237288136,37,0.07909604519774012,0.8479050004220954,0.3163841807909605,0.11864406779661017,0.1977401129943503
2016-04-26,2016,Train,-1,639,644,644,0,645,30.75,0.06504065040650407,1,0.10569105691056911,0.5307624200688638,0.016260162601626018,0.44715447154471544,-0.43089430894308944
2016-04-27,2016,Train,-1,639,644,649,5,650,40.5,0.1419753086419753,2,0.030864197530864196,0.6831926814687113,0.4567901234567901,0.030864197530864196,0.42592592592592593
2016-04-28,2016,Train,1,649,704,734,30,735,23.75,0.35789473684210527,17,0.07368421052631578,1.188167079070798,0.9473684210526315,0.042105263157894736,0.9052631578947368
2016-04-29,2016,Train,-1,654,654,659,5,660,42.75,0.07017543859649122,1,0.04093567251461988,0.686003157109792,0.1111111111111111,0.6081871345029239,-0.49707602339181284
2016-05-03,2016,Train,1,809,809,814,5,815,32.0,0.078125,1,0.0,0.3095766143456052,0.421875,0.28125,0.140625
2016-05-04,2016,Train,-1,779,784,784,0,785,21.0,0.13095238095238096,1,0.047619047619047616,0.3374969935059729,0.35714285714285715,0.3333333333333333,0.023809523809523836
2016-05-11,2016,Train,1,634,634,644,10,645,15.0,0.43333333333333335,2,0.25,2.2976077848357885,1.15,0.11666666666666667,1.0333333333333332
2016-05-12,2016,Train,-1,634,634,639,5,640,32.25,0.13178294573643412,1,0.007751937984496124,1.0924291686019507,0.0,1.0077519379844961,-1.0077519379844961
2016-05-13,2016,Train,1,689,689,699,10,700,23.0,0.1956521739130435,2,0.08695652173913043,1.0146063907296257,0.3695652173913043,0.043478260869565216,0.32608695652173914
2016-05-17,2016,Train,-1,634,634,639,5,640,33.75,0.17037037037037037,1,0.06666666666666667,0.9792023748520136,0.3111111111111111,0.08888888888888889,0.2222222222222222
2016-05-18,2016,Train,1,804,814,844,30,845,38.75,0.2064516129032258,8,0.5161290322580645,0.7593217864247778,0.7741935483870968,0.13548387096774195,0.6387096774193548
2016-05-19,2016,Train,-1,669,674,674,0,675,40.25,0.08695652173913043,1,0.018633540372670808,0.5871585588389233,0.18012422360248448,0.2360248447204969,-0.05590062111801242
2016-05-20,2016,Train,1,664,669,669,0,670,40.0,0.08125,1,0.025,0.46860809065533476,0.05,0.28125,-0.23125
2016-05-25,2016,Train,1,784,814,854,40,855,27.25,0.3669724770642202,14,0.01834862385321101,0.995542198847984,0.3669724770642202,0.21100917431192662,0.1559633027522936
2016-05-26,2016,Train,1,844,844,849,5,850,17.25,0.08695652173913043,1,0.0,0.23023425253350407,0.0,0.2753623188405797,-0.2753623188405797
2016-05-31,2016,Train,-1,724,739,804,65,805,12.25,0.5306122448979592,16,0.1836734693877551,0.4060340164673358,0.3673469387755102,1.346938775510204,-0.9795918367346939
2016-06-01,2016,Train,1,639,639,644,5,645,20.75,0.1686746987951807,1,0.20481927710843373,1.6577534306015078,0.20481927710843373,0.5542168674698795,-0.3493975903614458
2016-06-02,2016,Train,1,669,669,679,10,680,27.0,0.17592592592592593,2,0.027777777777777776,0.8367723805700521,0.3611111111111111,0.09259259259259259,0.2685185185185185
2016-06-06,2016,Train,1,669,669,679,10,680,17.25,0.08695652173913043,2,0.13043478260869565,0.5853736597855657,0.4782608695652174,0.11594202898550725,0.36231884057971014
2016-06-07,2016,Train,-1,654,659,679,20,680,9.0,0.6666666666666666,5,0.1111111111111111,1.109011214208459,0.3888888888888889,0.3055555555555556,0.08333333333333331
2016-06-09,2016,Train,-1,734,744,754,10,755,17.5,0.42857142857142855,4,0.04285714285714286,1.1936669493921401,0.8857142857142857,0.04285714285714286,0.8428571428571429
2016-06-13,2016,Train,-1,714,724,754,30,755,25.25,0.32673267326732675,8,0.019801980198019802,1.321661925157095,0.42574257425742573,0.009900990099009901,0.4158415841584158
2016-06-14,2016,Train,-1,649,694,744,50,745,29.75,0.6386554621848739,19,0.03361344537815126,0.8652287443587461,0.25210084033613445,0.15966386554621848,0.09243697478991597
2016-06-15,2016,Train,-1,689,689,699,10,700,14.75,0.23728813559322035,2,0.06779661016949153,0.929102447869447,0.4915254237288136,0.01694915254237288,0.4745762711864407
2016-06-16,2016,Train,-1,634,644,644,0,645,27.5,0.16363636363636364,2,0.0,0.8299509121547366,0.6818181818181818,0.18181818181818182,0.49999999999999994
2016-06-17,2016,Train,-1,634,694,729,35,730,41.25,0.3333333333333333,19,0.01818181818181818,1.0793894772437327,0.07878787878787878,0.22424242424242424,-0.14545454545454545
2016-06-21,2016,Train,-1,659,659,664,5,665,15.75,0.15873015873015872,1,0.4444444444444444,0.7245392822502424,0.2698412698412698,0.6349206349206349,-0.36507936507936506
2016-06-22,2016,Train,1,634,689,744,55,745,12.5,1.84,22,0.38,2.3108546700324557,1.12,0.3,0.8200000000000001
2016-06-24,2016,Train,-1,874,879,879,0,880,81.75,0.07951070336391437,1,0.0030581039755351682,0.48575253394530504,0.1345565749235474,0.2324159021406728,-0.0978593272171254
2016-06-27,2016,Train,-1,649,664,704,40,705,51.5,0.4563106796116505,11,0.04854368932038835,1.0536029108368656,0.21359223300970873,0.18446601941747573,0.029126213592232997
2016-07-01,2016,Train,1,644,649,649,0,650,39.0,0.08333333333333333,1,0.00641025641025641,1.0186666666666666,0.25,0.10897435897435898,0.14102564102564102
2016-07-04,2016,Train,1,644,654,659,5,660,5.5,0.45454545454545453,3,0.2727272727272727,0.8066390041493775,1.5909090909090908,0.09090909090909091,1.5
2016-07-05,2016,Train,-1,819,829,854,25,855,25.5,0.35294117647058826,7,0.12745098039215685,0.6483613817537645,0.13725490196078433,0.5,-0.3627450980392157
2016-07-07,2016,Train,-1,664,664,669,5,670,20.0,0.0625,1,0.1625,1.4328597372075633,0.2375,0.4125,-0.175
2016-07-11,2016,Train,1,674,674,679,5,680,19.25,0.07792207792207792,1,0.012987012987012988,0.30729656575739545,0.1038961038961039,0.18181818181818182,-0.07792207792207792
2016-07-22,2016,Train,1,644,654,664,10,665,23.25,0.13978494623655913,4,0.0,0.4963994457190886,0.1935483870967742,0.46236559139784944,-0.26881720430107525
2016-07-25,2016,Train,-1,744,744,749,5,750,15.0,0.13333333333333333,1,0.06666666666666667,0.7123544967006895,0.5666666666666667,0.16666666666666666,0.4
2016-07-26,2016,Train,-1,654,674,719,45,720,24.5,0.673469387755102,13,0.061224489795918366,1.7271328203412513,0.29591836734693877,0.10204081632653061,0.19387755102040816
2016-07-27,2016,Train,-1,644,654,654,0,655,13.5,0.35185185185185186,2,0.037037037037037035,0.7465431860569811,0.3333333333333333,0.3333333333333333,0.0
2016-07-29,2016,Train,1,684,684,689,5,690,22.25,0.0898876404494382,1,0.07865168539325842,0.4882349699674877,0.0449438202247191,0.3146067415730337,-0.2696629213483146
2016-08-01,2016,Train,1,644,689,724,35,725,28.25,0.3893805309734513,16,0.05309734513274336,0.6886288241798747,0.5132743362831859,0.008849557522123894,0.504424778761062
2016-08-02,2016,Train,-1,644,794,889,95,890,31.5,1.0396825396825398,49,0.06349206349206349,0.8248411303962297,0.11904761904761904,0.2619047619047619,-0.14285714285714288
2016-08-04,2016,Train,1,659,664,674,10,675,23.25,0.21505376344086022,3,0.06451612903225806,0.8288513468276462,0.13978494623655913,0.40860215053763443,-0.2688172043010753
2016-08-05,2016,Train,1,654,669,669,0,670,34.75,0.09352517985611511,3,0.0,0.41233085911141104,0.10071942446043165,0.07913669064748201,0.021582733812949645
2016-08-09,2016,Train,1,639,654,654,0,655,19.75,0.20253164556962025,3,0.02531645569620253,0.94228427632113,0.012658227848101266,0.31645569620253167,-0.3037974683544304
2016-08-12,2016,Train,1,664,664,674,10,675,10.75,0.18604651162790697,2,0.023255813953488372,0.4262587256794891,0.4418604651162791,0.3953488372093023,0.04651162790697677
2016-08-15,2016,Train,1,634,644,644,0,645,21.5,0.10465116279069768,2,0.023255813953488372,0.8297154345068569,0.05813953488372093,0.2558139534883721,-0.19767441860465118
2016-08-17,2016,Train,-1,689,719,749,30,750,22.5,0.3,12,0.0,0.6603777639297763,0.8,0.022222222222222223,0.7777777777777778
2016-08-18,2016,Train,1,634,634,639,5,640,16.75,0.07462686567164178,1,0.029850746268656716,0.7463852532035907,0.29850746268656714,0.13432835820895522,0.16417910447761191
2016-08-19,2016,Train,1,639,644,659,15,660,26.0,0.22115384615384615,4,0.009615384615384616,0.5549048570683812,0.0673076923076923,0.23076923076923078,-0.1634615384615385
2016-08-23,2016,Train,-1,669,669,679,10,680,10.75,0.37209302325581395,2,0.046511627906976744,1.1507177033492824,0.23255813953488372,0.5116279069767442,-0.2790697674418605
2016-08-24,2016,Train,-1,649,649,669,20,670,11.25,0.37777777777777777,4,0.044444444444444446,1.3082815901943392,0.044444444444444446,0.6,-0.5555555555555556
2016-08-25,2016,Train,1,664,679,729,50,730,17.75,0.4507042253521127,13,0.07042253521126761,1.087002161160852,0.14084507042253522,0.36619718309859156,-0.22535211267605634
2016-08-26,2016,Train,-1,729,734,764,30,765,44.0,0.3693181818181818,7,0.0,1.253063812715955,0.14204545454545456,0.125,0.017045454545454558
2016-08-29,2016,Train,1,709,784,869,85,870,13.25,0.4716981132075472,32,0.018867924528301886,1.2382004905792607,0.41509433962264153,0.07547169811320754,0.339622641509434
2016-08-30,2016,Train,-1,634,634,644,10,645,23.0,0.40217391304347827,2,0.021739130434782608,2.217671267943997,0.20652173913043478,0.29347826086956524,-0.08695652173913046
2016-08-31,2016,Train,-1,724,744,824,80,825,12.25,1.0816326530612246,20,0.02040816326530612,1.049114538370004,0.5510204081632653,0.2653061224489796,0.28571428571428564
2016-09-01,2016,Train,-1,634,664,684,20,685,26.75,0.3925233644859813,10,0.037383177570093455,2.2192763229381725,0.7850467289719626,0.18691588785046728,0.5981308411214953
2016-09-06,2016,Train,1,714,774,849,75,850,22.5,0.4,27,0.0,0.3330315667621436,0.03333333333333333,0.28888888888888886,-0.25555555555555554
2016-09-07,2016,Train,-1,649,649,654,5,655,11.0,0.20454545454545456,1,0.022727272727272728,1.140337224383917,0.20454545454545456,0.6136363636363636,-0.40909090909090906
2016-09-08,2016,Train,-1,824,834,839,5,840,22.75,0.25274725274725274,3,0.12087912087912088,0.240637193772879,0.3516483516483517,0.12087912087912088,0.23076923076923078
2016-09-12,2016,Train,1,644,649,649,0,650,60.5,0.01652892561983471,1,0.10743801652892562,0.47143571785892946,0.06611570247933884,0.384297520661157,-0.3181818181818182
2016-09-13,2016,Train,-1,659,694,734,40,735,34.5,0.427536231884058,15,0.08695652173913043,0.6448826063216647,0.007246376811594203,0.717391304347826,-0.7101449275362318
2016-09-14,2016,Train,1,634,639,639,0,640,40.75,0.10429447852760736,1,0.08588957055214724,1.1030419091109966,0.3496932515337423,0.15950920245398773,0.19018404907975459
2016-09-15,2016,Train,1,639,639,644,5,645,40.25,0.10559006211180125,1,0.13043478260869565,0.5037169122519549,0.0,0.7018633540372671,-0.7018633540372671
2016-09-20,2016,Train,-1,634,644,649,5,650,17.0,0.39705882352941174,3,0.10294117647058823,0.8169855227661196,0.4852941176470588,0.23529411764705882,0.25
2016-09-21,2016,Train,-1,669,749,844,95,845,14.25,1.631578947368421,35,0.15789473684210525,0.8288858893157511,1.3508771929824561,0.8947368421052632,0.45614035087719296
2016-09-22,2016,Train,1,634,634,644,10,645,12.25,0.3877551020408163,2,0.16326530612244897,0.9754010695187165,0.46938775510204084,0.14285714285714285,0.326530612244898
2016-09-26,2016,Train,-1,819,824,829,5,830,19.0,0.2236842105263158,2,0.0,0.46336941054719505,0.32894736842105265,0.039473684210526314,0.2894736842105263
2016-09-28,2016,Train,-1,649,694,734,40,735,13.5,0.9444444444444444,17,0.037037037037037035,0.9094096388791499,0.018518518518518517,0.7037037037037037,-0.6851851851851852
2016-09-29,2016,Train,-1,674,679,689,10,690,24.0,0.23958333333333334,3,0.020833333333333332,0.929204039036498,0.5,0.07291666666666667,0.4270833333333333
2016-10-03,2016,Train,1,649,654,659,5,660,16.25,0.27692307692307694,2,0.1076923076923077,0.565733270052207,1.1846153846153846,0.015384615384615385,1.1692307692307693
2016-10-04,2016,Train,-1,679,679,684,5,685,24.25,0.28865979381443296,1,0.14432989690721648,1.270053931308544,0.5360824742268041,0.28865979381443296,0.24742268041237114
2016-10-05,2016,Train,1,709,709,714,5,715,16.75,0.04477611940298507,1,0.014925373134328358,0.5117053061533225,0.11940298507462686,0.29850746268656714,-0.17910447761194026
2016-10-06,2016,Train,-1,669,679,689,10,690,18.0,0.4027777777777778,4,0.3055555555555556,1.2024960570527325,1.2361111111111112,0.09722222222222222,1.1388888888888888
2016-10-07,2016,Train,-1,699,709,809,100,810,29.0,0.5948275862068966,22,0.008620689655172414,0.7663242449988414,0.41379310344827586,0.02586206896551724,0.3879310344827586
