session,condition,T_offset,horizon,frac,IS_n,IS_p,IS_delta,IS_already,IS_share_pre,Validation_n,Validation_p,Validation_delta,Validation_already,Validation_share_pre,OOS_n,OOS_p,OOS_delta,OOS_already,OOS_share_pre,y2025,y2025_n,y2026,y2026_n,y2025_delta,y2026_delta,regime,tier,score
NY_PM,strong_dir_move,60,45,0.25,795,0.5861635220125786,0.12235195884341371,0.9182389937106918,0.014417136672973712,295,0.6542372881355932,0.1254554942935584,0.9050847457627119,0.007902449192658903,119,0.6050420168067226,0.1667548631543297,0.907563025210084,0.0069441823038230415,0.6341463414634146,82,0.5405405405405406,37,0.16855929692900168,0.14720720720720726,HIGH,strong,0.12235195884341371
NY_PM,fast_move,60,45,0.25,795,0.5861635220125786,0.12235195884341371,0.9182389937106918,0.014417136672973712,295,0.6542372881355932,0.1254554942935584,0.9050847457627119,0.007902449192658903,119,0.6050420168067226,0.1667548631543297,0.907563025210084,0.0069441823038230415,0.6341463414634146,82,0.5405405405405406,37,0.16855929692900168,0.14720720720720726,HIGH,strong,0.12235195884341371
NY_PM,high_local_vol,120,10,0.25,794,0.2531486146095718,0.12001505296573617,0.6183879093198993,0.032306182867729474,284,0.25704225352112675,0.12183475686784698,0.6443661971830986,0.016603285686374297,134,0.2537313432835821,0.13282454227602541,0.6567164179104478,0.017215237402796697,0.26881720430107525,93,0.21951219512195122,41,0.12711679944277565,0.13284552845528455,HIGH,strong,0.12001505296573617
NY_PM,vol_expansion_low,90,20,0.25,771,0.0959792477302205,-0.11977417692731375,0.055771725032425425,0.025138656932832543,188,0.06914893617021277,-0.13834771710957305,0.015957446808510637,0.011818312275791004,141,0.0425531914893617,-0.15895814352323276,0.0851063829787234,0.013021918392209274,0.05063291139240506,79,0.03225806451612903,62,-0.17203915338492287,-0.13440860215053763,LOW,strong,0.11977417692731375
NY_PM,high_local_vol,30,15,0.25,795,0.25157232704402516,0.1193515311518557,0.3559748427672956,0.02469074525433763,277,0.2851985559566787,0.14329761887501874,0.36823104693140796,0.011698576633071528,150,0.30666666666666664,0.15805205709487824,0.32666666666666666,0.01231975708770207,0.28846153846153844,104,0.34782608695652173,46,0.14271255060728744,0.1944927536231884,HIGH,strong,0.1193515311518557
NY_PM,strong_dir_move,120,45,0.25,794,0.6347607052896725,0.11934974638556295,1.0,0.0137738156419062,291,0.584192439862543,0.09690997667646534,1.0,0.008121500610234167,126,0.5238095238095238,0.14345687897325182,1.0,0.008723523418242255,0.5747126436781609,87,0.41025641025641024,39,0.15770859509516494,0.09025641025641024,HIGH,strong,0.11934974638556295
NY_PM,fast_move,120,45,0.25,794,0.6347607052896725,0.11934974638556295,1.0,0.0137738156419062,291,0.584192439862543,0.09690997667646534,1.0,0.008121500610234167,126,0.5238095238095238,0.14345687897325182,1.0,0.008723523418242255,0.5747126436781609,87,0.41025641025641024,39,0.15770859509516494,0.09025641025641024,HIGH,strong,0.11934974638556295
NY_PM,high_local_vol,15,15,0.25,803,0.2752179327521793,0.11716708529455219,0.22914072229140722,0.0269851589730641,284,0.2746478873239437,0.11926940126816679,0.22887323943661972,0.014799322958588386,144,0.3333333333333333,0.1633333333333333,0.19444444444444445,0.012005412276707327,0.32323232323232326,99,0.35555555555555557,45,0.13923232323232326,0.2088888888888889,HIGH,strong,0.11716708529455219
NY_PM,fast_and_expanded,90,15,0.25,561,0.2620320855614973,0.11605605816423706,1.0,0.023446202001074716,201,0.22885572139303484,0.0882934723970509,1.0,0.012066903215941135,98,0.3469387755102041,0.1781730324371562,1.0,0.011752602384034742,0.3382352941176471,68,0.36666666666666664,30,0.1520004763038819,0.22666666666666663,HIGH,strong,0.11605605816423706
NY_PM,strong_dir_move,90,30,0.25,794,0.45843828715365237,0.11554445153721399,1.0,0.017655158556928206,279,0.46236559139784944,0.09824243209396727,1.0,0.008760245557304504,132,0.4772727272727273,0.15989237462789102,1.0,0.008837130167832469,0.5402298850574713,87,0.35555555555555557,45,0.1920517474056494,0.0888888888888889,HIGH,strong,0.11554445153721399
NY_PM,fast_move,90,30,0.25,794,0.45843828715365237,0.11554445153721399,1.0,0.017655158556928206,279,0.46236559139784944,0.09824243209396727,1.0,0.008760245557304504,132,0.4772727272727273,0.15989237462789102,1.0,0.008837130167832469,0.5402298850574713,87,0.35555555555555557,45,0.1920517474056494,0.0888888888888889,HIGH,strong,0.11554445153721399
NY_PM,low_local_vol,120,15,0.25,1065,0.09389671361502347,-0.11500739597401763,0.3314553990610329,0.023556628432036292,281,0.08185053380782918,-0.11359792670087228,0.3736654804270463,0.013956192078907421,195,0.07179487179487179,-0.10956532971646321,0.3076923076923077,0.01660402504725145,0.07339449541284404,109,0.06976744186046512,86,-0.1290346543847268,-0.07689922480620155,LOW,strong,0.11500739597401763
NY_PM,quiet_wait,15,20,0.25,467,0.11777301927194861,-0.1131591841178819,0.0,0.022963795787631684,134,0.11194029850746269,-0.1178073774553527,0.0,0.010544765396792647,72,0.06944444444444445,-0.17055555555555554,0.0,0.011834169877232946,0.05128205128205128,39,0.09090909090909091,33,-0.18871794871794872,-0.14909090909090908,LOW,strong,0.1131591841178819
NY_PM,strong_and_persistent,120,45,0.25,411,0.6277372262773723,0.11232626737326268,1.0,0.010520516006887916,255,0.5686274509803921,0.08134498779431448,1.0,0.00812897616007733,110,0.5181818181818182,0.13782917334554617,1.0,0.008236236483429523,0.5657894736842105,76,0.4117647058823529,34,0.14878542510121456,0.09176470588235291,HIGH,strong,0.11232626737326268
NY_PM,strong_dir_move,120,20,0.25,794,0.38413098236775817,0.11229879058693626,1.0,0.01987983211129463,291,0.32989690721649484,0.09027173988048412,1.0,0.01199437722764289,126,0.35714285714285715,0.12792371356603097,1.0,0.01255875573215335,0.39080459770114945,87,0.28205128205128205,39,0.13169528596025876,0.10205128205128206,HIGH,strong,0.11229879058693626
NY_PM,fast_move,120,20,0.25,794,0.38413098236775817,0.11229879058693626,1.0,0.01987983211129463,291,0.32989690721649484,0.09027173988048412,1.0,0.01199437722764289,126,0.35714285714285715,0.12792371356603097,1.0,0.01255875573215335,0.39080459770114945,87,0.28205128205128205,39,0.13169528596025876,0.10205128205128206,HIGH,strong,0.11229879058693626
NY_PM,quiet_wait,30,20,0.25,474,0.07805907172995781,-0.11192809129956723,0.0,0.023915974825812154,121,0.05785123966942149,-0.1563388540387445,0.0,0.011286993771734768,79,0.0759493670886076,-0.11548640117335714,0.0,0.014445530565510147,0.04,50,0.13793103448275862,29,-0.16242914979757084,-0.03540229885057472,LOW,strong,0.11192809129956723
NY_PM,vol_expansion_low,15,20,0.25,779,0.11938382541720154,-0.11154837797262897,0.0,0.022762291811324383,237,0.10126582278481013,-0.12848185317800526,0.0,0.010961239056021066,125,0.064,-0.176,0.0,0.012181237718913452,0.05714285714285714,70,0.07272727272727272,55,-0.18285714285714286,-0.16727272727272727,LOW,strong,0.11154837797262897
NY_PM,low_local_vol,30,20,0.25,911,0.0801317233809001,-0.10985543964862493,0.07793633369923161,0.02227842753755451,249,0.08032128514056225,-0.13386880856760375,0.04417670682730924,0.0122022181586743,164,0.04878048780487805,-0.1426552804570867,0.07926829268292683,0.011067627541566484,0.011111111111111112,90,0.0945945945945946,74,-0.19131803868645975,-0.07873873873873874,LOW,strong,0.10985543964862493
