session,condition,regime,T_offset,horizon,frac,split,n,n_unc,rate,p_resolve,unc_p_resolve,delta,mean_already_moving,mean_share_pre
NY_AM,UNCONDITIONAL,OTHER,15,45,0.35,IS,2412,2412,1.0,0.8805970149253731,0.8805970149253731,0.0,0.5924543946932007,0.009529094668557432
NY_AM,UNCONDITIONAL,OTHER,15,10,0.15,Validation,774,774,1.0,0.9186046511627907,0.9186046511627907,0.0,0.5529715762273901,0.01060899549453324
NY_AM,UNCONDITIONAL,OTHER,15,15,0.15,Validation,774,774,1.0,0.9612403100775194,0.9612403100775194,0.0,0.5529715762273901,0.008591735365015693
NY_AM,UNCONDITIONAL,OTHER,15,20,0.15,Validation,774,774,1.0,0.9767441860465116,0.9767441860465116,0.0,0.5529715762273901,0.0075152033334102385
NY_AM,UNCONDITIONAL,OTHER,15,30,0.15,Validation,774,774,1.0,0.9883720930232558,0.9883720930232558,0.0,0.5529715762273901,0.006126481073172679
NY_AM,UNCONDITIONAL,OTHER,15,45,0.15,Validation,774,774,1.0,0.9961240310077519,0.9961240310077519,0.0,0.5529715762273901,0.005177259195978582
NY_AM,UNCONDITIONAL,OTHER,15,10,0.25,Validation,774,774,1.0,0.6731266149870802,0.6731266149870802,0.0,0.5529715762273901,0.01060899549453324
NY_AM,UNCONDITIONAL,OTHER,15,15,0.25,Validation,774,774,1.0,0.8074935400516796,0.8074935400516796,0.0,0.5529715762273901,0.008591735365015693
NY_AM,UNCONDITIONAL,OTHER,15,20,0.25,Validation,774,774,1.0,0.8682170542635659,0.8682170542635659,0.0,0.5529715762273901,0.0075152033334102385
NY_AM,UNCONDITIONAL,OTHER,15,30,0.25,Validation,774,774,1.0,0.9224806201550387,0.9224806201550387,0.0,0.5529715762273901,0.006126481073172679
NY_AM,UNCONDITIONAL,OTHER,15,45,0.25,Validation,774,774,1.0,0.9547803617571059,0.9547803617571059,0.0,0.5529715762273901,0.005177259195978582
NY_AM,UNCONDITIONAL,OTHER,15,10,0.35,Validation,774,774,1.0,0.4069767441860465,0.4069767441860465,0.0,0.5529715762273901,0.01060899549453324
NY_AM,UNCONDITIONAL,OTHER,15,15,0.35,Validation,774,774,1.0,0.5891472868217055,0.5891472868217055,0.0,0.5529715762273901,0.008591735365015693
NY_AM,UNCONDITIONAL,OTHER,15,20,0.35,Validation,774,774,1.0,0.6925064599483204,0.6925064599483204,0.0,0.5529715762273901,0.0075152033334102385
NY_AM,UNCONDITIONAL,OTHER,15,30,0.35,Validation,774,774,1.0,0.7971576227390181,0.7971576227390181,0.0,0.5529715762273901,0.006126481073172679
